610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
3322.76,2544.29,661.46,450.17,788.81,522.43,377.64,671.79,1361.14,10306.78,901.48,377.44,3.72,18.74,26.80,51.91,71.36,40.19
3317.09,2549.16,661.46,450.17,789.71,522.43,375.25,669.09,1359.97,10320.30,902.65,379.32,3.72,18.74,26.80,50.96,71.36,40.19
3314.83,2551.11,661.46,450.17,789.71,522.43,373.35,665.94,1356.84,10328.03,902.65,381.19,3.72,18.74,26.80,50.96,71.36,40.19
3314.83,2556.95,661.46,451.02,791.51,522.43,373.83,666.39,1358.01,10328.42,904.98,383.06,3.72,18.74,26.80,50.96,71.36,40.19
3313.69,2562.80,662.35,451.02,792.41,522.43,372.40,664.15,1357.23,10322.24,906.15,384.94,3.72,18.74,26.80,50.96,71.36,40.19
3617.41,2436.17,640.15,437.41,784.30,520.15,549.55,870.40,1470.39,9812.12,1025.76,395.24,4.65,18.74,26.80,51.91,73.74,40.90
2132.82,2751.77,697.86,466.34,654.48,495.11,79.53,138.40,1267.95,10965.69,751.53,218.22,2.79,16.87,23.10,47.19,61.85,36.67
2099.96,2748.85,695.20,463.79,651.78,489.42,79.05,136.15,1236.23,10966.46,749.78,214.48,2.79,16.87,23.10,47.19,61.85,36.67
2112.42,2750.80,694.31,463.79,655.39,490.56,79.05,136.60,1241.32,10921.63,752.11,218.22,2.79,16.87,23.10,47.19,61.85,36.67
2135.09,2761.51,696.98,464.64,657.19,491.69,79.53,137.50,1249.93,10945.20,754.44,217.29,2.79,16.87,23.10,47.19,61.85,36.67
2188.35,2781.97,704.08,469.75,661.70,495.11,79.53,138.85,1266.38,11036.02,757.94,221.03,2.79,16.87,23.10,47.19,61.85,36.67
2208.75,2796.58,704.97,470.60,666.20,497.39,80.00,139.75,1277.74,11048.00,763.78,221.03,2.79,16.87,23.10,47.19,61.85,36.67
2267.68,2806.32,707.63,472.30,670.71,501.94,80.48,141.55,1296.53,11033.70,765.53,222.91,2.79,16.87,23.10,47.19,61.85,36.67
2289.21,2809.24,709.41,474.00,670.71,504.21,80.48,142.00,1303.97,10989.65,763.78,221.97,2.79,16.87,23.10,47.19,61.85,36.67
2311.88,2824.83,712.96,475.70,677.02,509.91,80.96,142.89,1306.71,11117.95,771.95,226.65,2.79,16.87,23.10,47.19,61.85,36.67
2447.87,2883.27,725.39,485.06,694.15,519.01,82.38,148.29,1363.88,11216.50,783.03,232.27,2.79,16.87,23.10,47.19,62.64,36.67
