610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
4592.03,2684.56,699.64,491.87,966.40,653.32,793.37,1222.24,1675.19,10699.42,1183.30,480.47,5.58,20.62,34.19,64.18,95.94,52.18
4597.69,2686.51,699.64,492.72,969.10,653.32,797.65,1227.64,1676.37,10706.37,1186.81,482.34,5.58,20.62,33.26,64.18,95.15,52.18
4604.49,2684.56,699.64,492.72,970.91,653.32,802.89,1233.93,1677.15,10707.15,1190.89,484.21,5.58,20.62,33.26,63.23,93.57,51.47
4607.89,2684.56,700.53,492.72,971.81,653.32,805.75,1237.52,1677.93,10715.65,1192.64,485.15,4.65,20.62,33.26,63.23,93.57,51.47
4613.56,2682.61,699.64,492.72,973.61,652.18,808.13,1240.67,1676.76,10711.40,1195.56,486.09,4.65,19.68,33.26,62.29,92.77,50.77
5813.70,2644.62,752.91,545.48,1251.27,760.31,1738.17,2256.21,1906.62,12649.47,2052.11,686.52,7.44,24.37,51.74,95.32,151.45,83.20
6720.32,3355.70,871.89,623.78,1123.26,792.17,524.31,902.75,2273.92,12974.87,1335.59,387.75,2.79,17.81,25.87,53.79,72.95,40.90
6817.78,3372.26,877.21,628.88,1136.78,800.14,637.65,1013.74,2293.11,13061.82,1367.10,394.30,2.79,17.81,26.80,54.74,73.74,42.31
6835.91,3371.28,877.21,629.73,1141.29,802.42,685.74,1059.58,2292.72,13076.12,1380.52,397.11,2.79,17.81,26.80,55.68,73.74,42.31
6823.44,3369.33,877.21,630.58,1142.19,801.28,727.65,1099.57,2293.89,13101.63,1392.77,398.05,2.79,17.81,26.80,55.68,74.54,42.31
6835.91,3371.28,878.99,631.43,1145.80,803.56,755.27,1126.98,2297.81,13123.27,1402.11,399.92,2.79,17.81,26.80,55.68,74.54,43.01
6832.51,3371.28,878.99,632.29,1146.70,804.69,769.08,1140.46,2295.07,13122.88,1406.19,400.86,2.79,17.81,27.72,55.68,74.54,43.01
6829.11,3373.23,878.99,632.29,1148.50,804.69,779.08,1150.35,2295.07,13127.91,1409.11,400.86,2.79,17.81,27.72,55.68,74.54,43.01
6817.78,3366.41,877.21,631.43,1145.80,803.56,781.46,1151.70,2290.37,13140.27,1410.86,401.79,2.79,17.81,27.72,55.68,74.54,43.01
6816.65,3369.33,878.10,632.29,1145.80,803.56,774.80,1144.96,2290.76,13129.07,1406.78,400.86,2.79,17.81,27.72,55.68,74.54,43.01
6817.78,3371.28,878.10,631.43,1147.60,804.69,776.22,1146.75,2292.72,13108.97,1407.36,400.86,2.79,17.81,27.72,55.68,74.54,43.01
6826.84,3373.23,878.99,633.14,1149.40,805.83,784.32,1154.84,2295.07,13130.23,1410.86,401.79,2.79,17.81,27.72,55.68,74.54,43.01
6983.24,3376.15,876.33,627.18,1145.80,809.25,640.98,1025.43,2324.44,12965.98,1350.18,400.86,2.79,17.81,26.80,54.74,73.74,42.31
6977.57,3375.18,876.33,627.18,1147.60,811.52,633.36,1015.09,2320.52,12919.61,1347.85,399.92,2.79,17.81,26.80,54.74,73.74,42.31
6976.44,3372.26,876.33,627.18,1143.99,810.39,635.27,1016.89,2318.95,12965.60,1350.76,398.05,2.79,17.81,26.80,54.74,73.74,42.31
6085.68,2741.05,779.55,565.91,1290.94,787.62,1938.18,2483.13,1989.63,13016.99,2082.45,720.23,9.31,28.11,89.63,138.73,210.13,135.38
6024.49,2730.34,772.45,561.65,1282.82,779.65,1918.18,2456.62,1975.14,12829.95,2059.70,706.18,9.31,28.11,89.63,138.73,210.13,135.38
6005.22,2714.75,768.89,559.10,1268.40,776.24,1921.99,2459.77,1966.14,12787.83,2057.36,705.25,9.31,29.05,90.55,139.68,211.71,136.79
5992.75,2701.12,765.34,556.55,1266.60,773.96,1931.03,2470.55,1961.05,12748.02,2068.45,706.18,9.31,29.05,91.48,140.62,213.30,138.20
5962.16,2683.58,760.90,553.99,1264.79,772.83,1945.32,2483.13,1952.82,12729.08,2084.20,708.06,9.31,29.05,93.32,141.56,214.09,140.31
5917.96,2663.13,754.69,549.74,1261.19,769.41,1939.61,2478.64,1956.35,12799.03,2080.70,710.87,9.31,29.05,94.25,141.56,212.51,140.31
5896.43,2649.49,750.25,546.34,1261.19,767.13,1904.84,2441.34,1964.96,12869.37,2055.61,709.93,8.38,29.05,91.48,139.68,210.13,136.08
5891.89,2646.57,752.02,548.04,1262.09,768.27,1849.13,2387.42,1962.61,12815.26,2003.10,708.06,8.38,28.11,88.70,137.79,206.96,132.56
5914.56,2659.23,754.69,549.74,1264.79,770.55,1773.89,2317.32,1953.61,12594.60,1927.83,701.50,8.38,28.11,85.01,135.90,204.58,129.03
