610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
3920.00,2589.10,665.01,458.68,883.46,575.92,627.17,1002.96,1503.68,10173.06,1082.36,458.93,4.65,18.74,27.72,52.85,75.33,42.31
3921.13,2564.75,663.24,457.83,886.17,574.78,640.98,1021.38,1509.55,10190.84,1094.61,466.42,4.65,18.74,27.72,52.85,74.54,42.31
3929.06,2556.95,663.24,458.68,888.87,574.78,652.41,1035.31,1515.82,10205.14,1104.53,470.16,4.65,18.74,27.72,52.85,74.54,42.31
3931.33,2555.01,663.24,458.68,889.77,574.78,658.60,1042.50,1519.34,10209.39,1110.95,472.04,4.65,18.74,27.72,52.85,74.54,42.31
3912.06,2629.04,664.13,457.83,872.64,574.78,637.65,1016.44,1508.38,10195.87,1091.70,466.42,4.65,18.74,27.72,52.85,75.33,42.31
4503.63,2591.05,692.54,484.21,977.22,623.72,870.51,1266.73,1703.78,10934.38,1330.93,515.12,5.58,20.62,30.49,57.57,87.22,45.83
2285.81,2774.17,702.30,469.75,672.51,507.63,81.91,142.89,1299.27,10978.83,766.70,223.84,2.79,16.87,23.10,47.19,61.85,36.67
2306.21,2794.63,706.74,473.15,677.92,507.63,81.91,143.79,1307.50,11100.17,776.03,232.27,2.79,16.87,23.10,47.19,61.85,36.67
2594.06,2849.18,721.84,484.21,727.50,531.53,84.77,157.27,1414.40,11139.98,805.79,241.64,2.79,16.87,24.02,47.19,62.64,36.67
4760.89,3011.85,754.69,506.34,921.33,718.19,101.43,240.85,1932.07,10647.63,860.05,354.96,3.72,17.81,24.02,48.13,63.43,36.67
4839.08,2993.34,726.28,496.13,968.20,756.89,109.05,303.31,1997.46,10374.79,862.39,386.81,3.72,17.81,24.02,48.13,64.23,37.37
6089.08,3174.52,790.20,537.83,1055.65,775.10,122.39,371.17,2271.57,10715.26,920.74,394.30,3.72,17.81,24.95,48.13,65.81,37.37
8974.40,3525.19,932.26,626.33,1241.36,918.51,176.67,572.93,2816.26,11932.21,1119.12,483.28,3.72,17.81,24.95,50.02,68.19,38.08
9663.43,3531.03,935.81,626.33,1305.36,943.55,204.29,664.60,3098.60,11880.04,1117.95,504.82,3.72,17.81,24.95,50.96,69.78,38.78
8374.90,3478.43,940.25,640.80,1197.18,850.22,320.49,750.87,2689.78,12668.80,1239.32,436.45,3.72,17.81,24.95,51.91,71.36,39.49
9947.88,3513.50,948.24,643.35,1323.39,951.52,311.92,838.94,2979.95,12001.77,1224.73,511.37,3.72,17.81,25.87,52.85,72.16,40.19
8756.81,3352.78,882.54,612.71,1247.67,908.27,375.73,869.95,2627.52,12267.66,1228.82,473.91,3.72,17.81,25.87,53.79,72.95,40.90
9150.06,3543.69,985.53,664.62,1353.14,959.49,346.21,882.08,3057.48,12560.59,1165.22,530.11,3.72,17.81,25.87,52.85,71.36,40.19
6821.18,3336.22,820.39,540.38,1031.31,867.29,143.82,341.96,2595.41,10085.73,842.55,430.83,3.72,17.81,24.95,49.08,65.81,37.37
5645.97,3204.72,791.09,522.51,965.50,791.04,129.53,293.43,2227.32,10598.17,859.47,388.68,3.72,17.81,24.95,48.13,65.02,37.37
4146.65,3019.64,742.26,491.87,887.07,677.22,109.05,222.88,1962.61,10580.39,856.55,327.80,2.79,17.81,24.02,48.13,64.23,37.37
4652.09,2434.22,692.54,480.81,1056.55,677.22,986.71,1469.84,2015.48,10793.33,1442.95,561.95,6.51,21.55,33.26,60.40,94.36,48.65
4598.83,2378.70,665.01,456.98,951.98,626.00,857.66,1315.26,1824.39,10161.47,1241.07,516.06,5.58,20.62,31.42,59.46,89.60,47.24
4471.90,2374.80,659.69,452.73,938.45,615.76,793.37,1241.12,1779.74,9942.74,1169.88,495.45,5.58,20.62,31.42,58.51,87.22,46.54
4374.44,2387.46,657.91,451.88,925.83,611.20,752.89,1194.38,1773.09,9922.25,1143.63,485.15,5.58,19.68,30.49,56.63,84.05,45.83
4327.97,2401.10,658.80,452.73,920.42,607.79,735.27,1174.61,1772.30,9938.87,1129.62,483.28,4.65,19.68,30.49,56.63,82.46,45.13
4289.44,2416.69,661.46,454.43,918.62,605.51,724.32,1161.58,1773.48,9975.59,1124.96,482.34,4.65,19.68,29.57,55.68,80.88,45.13
4267.91,2427.40,663.24,455.28,919.52,605.51,718.60,1153.94,1765.65,10009.21,1123.21,481.40,4.65,19.68,29.57,55.68,80.09,44.42
4256.58,2439.09,664.13,456.98,920.42,604.37,714.79,1149.00,1760.17,10042.83,1123.21,481.40,4.65,19.68,29.57,55.68,79.29,44.42
4248.65,2447.86,666.79,457.83,921.33,604.37,714.79,1149.90,1763.69,10077.22,1124.96,482.34,4.65,19.68,29.57,55.68,79.29,44.42
4246.38,2454.68,667.68,459.53,922.23,605.51,715.27,1150.80,1764.86,10106.21,1127.29,483.28,4.65,19.68,29.57,55.68,79.29,44.42
4245.25,2462.47,669.45,460.39,924.93,605.51,719.08,1153.94,1766.04,10140.22,1131.96,485.15,4.65,19.68,29.57,55.68,79.29,44.42
