610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
6299.87,3057.63,814.18,597.40,1251.27,812.66,2397.25,2870.48,2037.01,12751.88,1837.97,604.10,8.38,33.74,126.59,143.45,192.68,155.83
6297.61,3057.63,813.29,597.40,1250.37,812.66,2394.39,2867.33,2035.06,12748.79,1836.81,605.03,8.38,33.74,126.59,142.51,192.68,155.83
6295.34,3056.66,814.18,597.40,1251.27,812.66,2396.77,2870.03,2037.01,12744.16,1838.56,605.03,8.38,33.74,126.59,142.51,192.68,155.83
6295.34,3055.68,814.18,597.40,1250.37,811.52,2392.96,2865.98,2036.62,12727.15,1837.39,604.10,8.38,33.74,125.67,142.51,192.68,155.12
6293.07,3053.73,814.18,597.40,1250.37,812.66,2394.39,2868.68,2035.84,12741.45,1836.81,605.03,8.38,33.74,125.67,142.51,191.89,155.83
6291.94,3052.76,814.18,597.40,1250.37,811.52,2393.91,2867.78,2032.71,12735.65,1834.47,605.03,8.38,33.74,125.67,142.51,191.89,155.12
6293.07,3051.79,814.18,597.40,1249.47,811.52,2392.48,2867.33,2035.06,12728.70,1835.64,605.03,8.38,33.74,124.74,141.56,191.10,153.71
6284.01,3031.33,810.62,594.84,1243.16,805.83,2384.39,2865.98,2033.10,12681.55,1822.22,605.03,7.44,30.93,105.34,125.52,176.03,136.08
1933.37,2647.54,673.89,445.07,627.44,470.07,78.10,130.76,1170.05,10763.18,734.61,214.48,2.79,16.87,24.02,48.13,62.64,36.67
1920.90,2672.87,677.44,449.32,627.44,467.79,77.62,130.76,1164.18,10859.41,734.61,208.86,2.79,16.87,24.02,48.13,62.64,36.67
1923.17,2691.38,679.22,451.02,629.24,467.79,77.15,130.31,1168.88,10874.10,735.19,208.86,2.79,16.87,24.02,48.13,62.64,36.67
1933.37,2704.04,681.88,452.73,631.95,470.07,77.15,130.31,1173.97,10901.92,735.77,208.86,2.79,16.87,24.02,48.13,62.64,36.67
1934.50,2704.04,682.77,452.73,631.04,471.21,76.67,130.31,1173.18,10904.24,735.19,208.86,2.79,16.87,24.02,47.19,62.64,36.67
1937.90,2709.88,682.77,453.58,632.85,471.21,77.15,130.31,1175.92,10920.86,736.94,208.86,2.79,16.87,24.02,47.19,62.64,36.67
1936.77,2708.91,682.77,453.58,632.85,471.21,76.67,129.86,1174.36,10911.20,736.94,208.86,2.79,16.87,24.02,47.19,62.64,36.67
1936.77,2710.86,682.77,453.58,632.85,472.35,76.67,130.31,1173.97,10930.13,737.52,208.86,2.79,16.87,24.02,47.19,62.64,36.67
1931.10,2708.91,682.77,453.58,632.85,472.35,76.67,129.86,1170.83,10929.36,735.77,208.86,2.79,16.87,24.02,47.19,62.64,36.67
1920.90,2706.96,681.88,453.58,631.95,472.35,76.67,129.41,1170.05,10928.97,736.36,208.86,2.79,16.87,24.02,47.19,62.64,36.67
1920.90,2709.88,682.77,453.58,632.85,472.35,76.67,129.86,1171.22,10918.15,736.36,208.86,2.79,16.87,23.10,47.19,62.64,36.67
1926.57,2707.94,682.77,453.58,632.85,472.35,76.67,129.41,1172.01,10922.79,735.77,208.86,2.79,16.87,24.02,47.19,62.64,36.67
1923.17,2705.01,681.88,453.58,631.95,471.21,76.67,129.41,1170.05,10921.24,735.19,208.86,2.79,16.87,24.02,47.19,62.64,36.67
1923.17,2707.94,681.88,453.58,632.85,471.21,76.67,129.86,1172.79,10935.54,736.36,208.86,2.79,16.87,24.02,47.19,62.64,36.67
1939.03,2712.81,683.66,454.43,634.65,473.48,76.67,130.31,1175.53,10951.77,740.44,210.73,2.79,16.87,24.02,47.19,62.64,36.67
2339.08,3321.60,770.67,521.66,669.81,516.73,80.96,142.45,1364.28,11004.72,748.61,220.10,2.79,16.87,24.02,48.13,62.64,36.67
5734.37,3803.77,981.98,622.07,877.15,582.75,80.48,142.45,1382.29,11055.34,752.69,228.53,2.79,17.81,24.02,48.13,63.43,37.37
5849.96,3812.54,959.79,615.27,879.86,582.75,79.53,138.40,1360.75,10973.03,751.53,226.65,2.79,17.81,24.02,48.13,63.43,36.67
6074.35,3139.45,768.89,518.25,800.53,626.00,147.63,437.22,2580.14,11298.81,869.39,301.58,3.72,17.81,24.95,49.08,65.02,37.37
2171.35,3411.22,599.31,392.31,726.60,468.93,103.34,261.97,1605.10,11251.28,735.19,257.56,3.72,17.81,24.95,48.13,65.02,37.37
2058.03,2731.31,704.97,469.75,635.55,484.87,88.10,134.81,1209.21,11105.20,759.70,213.54,2.79,16.87,24.02,48.13,62.64,36.67
1967.36,2657.28,670.34,442.51,613.92,478.04,77.15,129.86,1186.50,10940.18,741.02,211.67,2.79,16.87,24.02,48.13,62.64,36.67
3371.49,2737.16,648.14,428.90,739.22,528.12,411.45,707.73,1318.07,9540.82,798.21,367.14,4.65,18.74,27.72,50.96,73.74,40.19
3428.15,2635.85,635.71,421.24,738.32,497.39,454.78,760.76,1343.13,9300.06,861.80,356.84,4.65,19.68,27.72,52.85,74.54,41.60
3458.75,2607.61,633.94,419.54,754.55,511.04,475.26,788.62,1358.79,9357.64,892.73,369.95,4.65,19.68,27.72,52.85,75.33,41.60
