610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
3839.53,3016.72,763.57,505.49,714.88,578.20,123.81,245.80,1596.09,12355.00,809.29,254.75,4.65,32.80,37.88,73.61,99.91,62.75
3714.87,3001.13,760.02,502.08,707.67,567.95,117.15,236.81,1569.86,12323.31,805.21,255.69,4.65,32.80,37.88,72.67,99.91,62.75
3657.08,2982.63,754.69,498.68,702.26,563.40,112.39,230.52,1556.54,12249.11,801.12,253.81,4.65,32.80,37.88,72.67,99.91,62.75
3665.01,2981.65,754.69,498.68,701.36,562.26,110.00,229.62,1555.76,12241.76,802.29,253.81,4.65,32.80,37.88,72.67,99.91,62.75
3667.28,2981.65,755.58,499.53,702.26,562.26,109.53,229.17,1556.54,12238.67,802.29,253.81,4.65,32.80,37.88,72.67,99.91,62.75
3680.88,2981.65,754.69,499.53,701.36,561.12,108.58,229.17,1558.50,12255.29,798.21,254.75,4.65,32.80,37.88,72.67,99.91,62.75
3649.14,2981.65,755.58,498.68,700.46,559.99,107.62,226.92,1553.02,12244.86,800.54,253.81,4.65,32.80,37.88,72.67,99.91,62.75
3684.27,2979.70,753.80,496.98,697.76,557.71,107.15,226.92,1561.24,12212.78,795.29,251.94,4.65,32.80,37.88,72.67,99.12,62.05
3677.48,2972.89,753.80,496.98,695.05,557.71,106.67,226.47,1556.93,12193.46,791.79,251.00,4.65,32.80,37.88,72.67,99.91,62.75
3669.54,2975.81,752.91,496.98,700.46,559.99,105.72,228.27,1558.11,12230.94,802.87,255.69,4.65,32.80,37.88,72.67,99.12,62.05
3768.14,2988.47,756.46,500.38,708.57,566.81,106.20,233.66,1580.04,12271.91,810.46,257.56,4.65,32.80,37.88,72.67,99.91,62.75
3773.80,2993.34,759.13,501.23,709.47,566.81,106.20,233.21,1585.91,12277.70,812.21,257.56,4.65,32.80,37.88,72.67,99.91,62.75
3818.00,2998.21,759.13,502.08,712.18,569.09,106.67,236.36,1593.74,12304.37,813.38,258.50,4.65,32.80,37.88,72.67,99.91,62.75
3820.27,2998.21,759.13,502.08,712.18,569.09,106.67,236.81,1596.48,12277.32,813.96,258.50,4.65,32.80,37.88,72.67,99.91,62.75
3859.93,2999.19,760.02,502.08,715.78,571.37,106.67,239.06,1603.92,12297.80,818.04,260.37,4.65,32.80,37.88,72.67,99.91,62.75
3863.33,2999.19,760.90,502.94,710.38,566.81,106.67,236.81,1603.14,12264.95,809.87,256.62,4.65,32.80,37.88,72.67,99.91,62.75
3920.00,3037.17,766.23,508.04,719.39,570.23,107.15,239.51,1610.58,12314.80,811.63,262.24,4.65,32.80,37.88,72.67,99.91,62.75
3899.60,2999.19,760.90,502.94,714.88,573.64,107.15,242.20,1608.62,12292.00,816.29,262.24,4.65,32.80,37.88,72.67,99.91,62.75
4016.32,3018.67,764.46,506.34,725.70,575.92,107.62,249.39,1641.12,12351.90,826.21,264.12,4.65,32.80,37.88,72.67,99.91,62.75
4021.99,3018.67,765.34,506.34,723.90,575.92,107.62,248.94,1640.73,12349.20,822.71,264.12,4.65,32.80,37.88,72.67,99.91,62.75
4034.46,3016.72,763.57,505.49,728.41,580.47,108.58,252.54,1647.39,12319.83,831.46,264.12,4.65,32.80,37.88,72.67,99.91,62.75
4135.32,3032.30,768.89,509.74,734.72,585.03,109.53,258.38,1670.10,12399.44,837.88,267.86,4.65,32.80,37.88,72.67,99.91,62.75
4128.52,3038.15,768.89,509.74,733.81,583.89,109.53,257.03,1670.49,12378.18,835.55,266.93,4.65,32.80,37.88,72.67,99.91,62.75
4099.05,3033.28,767.12,508.89,734.72,585.03,109.53,256.13,1664.23,12382.82,839.05,266.93,4.65,32.80,37.88,72.67,99.91,62.75
