610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
3473.49,3378.10,918.94,567.61,658.09,565.68,305.25,412.06,1805.59,9646.71,591.65,196.68,243.82,1560.32,5088.52,4439.42,5542.59,6424.16
3404.36,3362.52,914.51,564.21,652.68,559.99,302.87,405.77,1784.44,9624.30,587.57,195.75,242.89,1559.39,5083.90,4439.42,5536.25,6424.87
3373.76,3350.83,911.84,562.50,649.07,556.57,300.97,403.07,1773.48,9615.02,585.82,194.81,243.82,1560.32,5088.52,4439.42,5542.59,6424.16
4759.75,3456.03,951.80,581.23,773.48,659.01,792.89,1325.15,2572.70,10341.95,805.21,424.27,246.61,1565.95,5108.85,4463.96,5571.93,6436.85
5007.94,3402.45,904.74,568.46,807.74,750.06,1165.29,1527.36,2019.00,9069.35,865.31,272.55,248.47,1568.76,5116.24,4465.85,5587.00,6450.96
3342.03,3363.49,912.73,560.80,652.68,552.02,588.60,897.81,1887.04,10054.42,843.13,242.57,243.82,1561.26,5107.00,4440.36,5567.97,6426.28
4660.02,3039.12,901.19,560.80,771.68,544.05,1150.05,1573.19,2040.93,9720.14,818.04,319.37,246.61,1565.95,5112.54,4458.30,5577.48,6444.61
3470.09,3375.18,923.38,566.76,649.98,561.12,699.55,991.73,1695.16,9363.83,765.53,255.69,243.82,1562.20,5094.06,4446.03,5547.35,6431.92
3365.82,3348.88,910.07,561.65,647.27,555.43,292.87,395.88,1762.91,9598.41,584.65,194.81,242.89,1559.39,5085.75,4439.42,5537.04,6424.87
3366.96,3350.83,910.95,561.65,648.17,556.57,293.35,396.78,1765.65,9607.29,585.82,194.81,243.82,1560.32,5089.44,4439.42,5541.80,6424.16
3374.89,3350.83,910.95,561.65,648.17,556.57,293.82,397.23,1769.56,9591.83,586.40,194.81,242.89,1559.39,5089.44,4433.76,5541.80,6416.41
3372.62,3357.65,912.73,563.36,652.68,557.71,294.77,401.27,1775.05,9606.52,589.90,194.81,243.82,1560.32,5088.52,4439.42,5541.01,6424.87
4893.48,3276.80,955.35,588.03,763.56,627.14,754.32,1407.38,2042.11,10666.57,746.28,428.02,246.61,1565.95,5107.00,4462.07,5571.14,6446.02
5462.38,3450.18,939.37,642.50,830.27,718.19,1145.76,1563.30,2114.94,9592.61,938.82,313.76,247.54,1569.70,5121.78,4472.45,5589.38,6458.01
3599.28,3408.30,937.59,574.42,663.50,528.12,774.32,1027.67,1710.04,9713.57,782.45,215.41,244.75,1563.14,5099.60,4454.52,5555.28,6418.52
3387.36,3332.32,906.51,558.25,644.57,556.57,293.35,398.13,1768.00,9601.50,586.40,195.75,242.89,1559.39,5084.82,4439.42,5535.46,6422.75
3393.02,3350.83,910.95,561.65,649.98,555.43,293.82,399.03,1770.74,9604.97,587.57,195.75,243.82,1560.32,5089.44,4439.42,5541.80,6423.46
3393.02,3350.83,910.95,561.65,649.98,555.43,293.35,398.58,1771.52,9599.18,587.57,195.75,243.82,1560.32,5090.37,4435.65,5542.59,6417.82
3466.69,3351.80,911.84,562.50,650.88,559.99,294.77,401.27,1777.00,9714.73,588.73,254.75,243.82,1561.26,5090.37,4445.08,5543.39,6429.80
3406.62,3351.80,911.84,562.50,650.88,556.57,293.82,400.37,1773.87,9612.70,588.15,195.75,243.82,1559.39,5085.75,4439.42,5536.25,6424.16
5742.30,3615.78,983.76,605.05,817.65,583.89,665.74,1089.68,3058.26,10081.47,830.88,360.58,245.68,1565.01,5107.92,4454.52,5567.17,6438.26
3533.55,3572.92,916.28,593.99,827.57,574.78,299.54,408.46,1812.25,10440.49,593.40,341.85,245.68,1564.07,5096.83,4449.80,5552.11,6431.92
3468.95,3361.54,914.51,564.21,653.58,561.12,330.97,476.77,1906.62,10408.42,600.40,277.23,243.82,1561.26,5090.37,4442.25,5542.59,6426.28
3437.22,3356.67,913.62,564.21,653.58,559.99,294.30,402.17,1784.44,9632.03,591.07,196.68,243.82,1561.26,5091.29,4441.31,5536.25,6424.87
3442.89,3359.59,912.73,563.36,654.48,559.99,294.30,403.07,1788.36,9627.00,592.82,196.68,243.82,1560.32,5089.44,4435.65,5541.80,6417.11
5896.43,3522.26,940.25,582.08,774.38,662.42,844.80,1332.34,2622.43,10038.19,773.12,384.00,247.54,1567.82,5113.47,4469.62,5579.07,6436.15
3476.89,3365.44,914.51,565.06,657.19,562.26,294.77,404.87,1796.19,9646.33,594.57,197.62,243.82,1559.39,5083.90,4439.42,5533.87,6422.05
3476.89,3364.46,915.39,565.06,657.19,561.12,294.77,405.77,1797.37,9644.39,594.57,197.62,243.82,1561.26,5090.37,4440.36,5542.59,6423.46
3480.29,3365.44,915.39,565.06,658.09,561.12,294.77,405.77,1798.54,9626.23,595.15,197.62,243.82,1559.39,5088.52,4434.70,5540.22,6415.70
3507.48,3370.31,917.17,565.91,659.89,563.40,295.25,407.56,1805.98,9648.64,596.90,198.56,243.82,1561.26,5089.44,4439.42,5541.80,6422.75
3513.15,3372.26,917.17,566.76,660.79,564.54,295.73,408.46,1807.94,9645.94,597.49,198.56,243.82,1560.32,5084.82,4439.42,5536.25,6422.05
