610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
5200.60,3627.47,996.19,629.73,808.64,673.80,397.64,646.62,2311.12,10336.92,734.61,234.15,243.82,1558.45,5082.97,4436.59,5544.18,6419.93
5198.33,3622.59,995.30,629.73,807.74,673.80,396.68,645.72,2309.95,10330.74,735.77,233.21,243.82,1557.51,5083.90,4432.81,5544.18,6415.00
5164.33,3612.85,992.64,627.18,803.23,671.53,391.92,638.98,2298.98,10314.89,731.69,233.21,243.82,1558.45,5083.90,4439.42,5544.97,6423.46
5151.87,3609.93,992.64,627.18,802.33,669.25,389.54,637.18,2295.07,10310.64,730.52,232.27,243.82,1557.51,5079.28,4438.48,5538.63,6422.75
5155.26,3609.93,992.64,627.18,802.33,669.25,388.59,636.29,2293.11,10305.62,730.52,233.21,243.82,1559.39,5085.75,4439.42,5544.97,6423.46
5148.47,3611.88,992.64,626.33,802.33,669.25,388.11,635.39,2294.68,10307.94,731.10,232.27,243.82,1559.39,5084.82,4439.42,5545.77,6415.70
5149.60,3607.01,991.75,626.33,802.33,669.25,387.16,634.04,2292.33,10312.58,731.10,233.21,243.82,1557.51,5080.20,4438.48,5540.22,6422.75
5151.87,3610.91,992.64,627.18,802.33,669.25,386.68,634.49,2293.50,10308.71,731.10,232.27,243.82,1559.39,5084.82,4438.48,5545.77,6422.75
5157.53,3613.83,993.53,627.18,803.23,669.25,388.59,636.74,2296.24,10306.01,731.10,232.27,243.82,1558.45,5085.75,4434.70,5546.56,6417.11
5168.86,3618.70,994.41,628.03,805.03,671.53,393.83,643.03,2301.33,10323.01,731.10,233.21,243.82,1559.39,5085.75,4439.42,5546.56,6423.46
5170.00,3617.72,994.41,628.03,805.03,671.53,396.21,645.27,2299.77,10318.37,730.52,233.21,243.82,1558.45,5081.13,4439.42,5540.22,6422.75
5159.80,3613.83,993.53,627.18,803.23,669.25,395.73,645.27,2299.38,10309.87,730.52,233.21,243.82,1559.39,5085.75,4439.42,5546.56,6422.75
5162.06,3609.93,993.53,627.18,803.23,669.25,395.26,645.72,2299.38,10297.12,731.10,233.21,243.82,1557.51,5084.82,4434.70,5544.97,6415.70
6614.92,3921.64,967.78,640.80,901.49,819.49,1611.50,2121.40,2483.42,11223.07,991.34,397.11,249.40,1570.63,5125.48,4470.56,5609.99,6454.48
5121.27,3623.57,990.86,624.63,801.43,664.70,480.50,805.24,2451.31,10468.32,896.81,236.96,243.82,1557.51,5080.20,4439.42,5537.84,6422.75
5141.67,3602.14,990.86,625.48,799.62,665.84,375.73,626.85,2288.41,10293.25,729.94,232.27,243.82,1559.39,5085.75,4440.36,5544.97,6423.46
4998.87,3641.10,1009.51,633.14,806.84,677.22,1284.34,1859.43,2569.57,11193.70,907.32,395.24,244.75,1561.26,5091.29,4434.70,5552.11,6414.29
7135.10,4455.43,1104.51,753.98,1059.25,833.15,1095.28,1877.85,3281.07,11566.62,945.83,430.83,246.61,1563.14,5102.38,4458.30,5569.55,6438.97
7019.50,3971.31,1054.79,696.11,951.07,804.69,1556.26,2058.04,2393.36,10464.84,910.82,367.14,248.47,1569.70,5109.77,4493.21,5581.45,6470.70
5829.56,3627.47,1001.52,629.73,889.77,668.11,1115.29,1666.21,2400.80,11240.84,941.16,339.98,244.75,1559.39,5104.23,4438.48,5571.93,6420.64
5151.87,4007.36,1110.72,700.37,909.61,668.11,379.06,634.49,2307.21,10301.75,738.69,232.27,244.75,1559.39,5085.75,4439.42,5545.77,6422.05
