610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
1541.25,2796.58,768.01,465.49,468.78,399.50,265.73,291.18,1042.00,8764.43,434.70,135.80,242.89,1560.32,5086.67,4440.36,5536.25,6423.46
1531.05,2790.73,767.12,464.64,467.87,398.36,265.73,291.18,1037.69,8735.45,434.11,135.80,242.89,1561.26,5090.37,4440.36,5541.01,6422.05
1520.85,2780.99,764.46,463.79,466.07,396.09,265.73,290.73,1034.95,8722.31,432.94,134.87,242.89,1560.32,5091.29,4436.59,5541.80,6416.41
1512.92,2774.17,762.68,462.09,464.27,394.95,265.25,290.28,1026.73,8723.08,432.36,134.87,242.89,1562.20,5091.29,4440.36,5541.01,6422.75
1506.12,2771.25,761.79,461.24,463.37,393.81,264.77,289.83,1023.60,8719.22,431.19,134.87,242.89,1560.32,5085.75,4441.31,5534.66,6422.75
1504.99,2769.30,761.79,461.24,463.37,393.81,264.77,289.83,1020.47,8718.45,429.44,134.87,242.89,1562.20,5091.29,4440.36,5541.01,6424.16
1503.85,2768.33,761.79,461.24,462.47,391.53,264.77,289.38,1018.90,8702.60,425.94,134.87,242.89,1562.20,5091.29,4441.31,5541.01,6415.70
1497.06,2767.35,758.24,459.53,460.66,391.53,264.30,288.93,1014.20,8682.50,427.11,133.93,242.89,1560.32,5085.75,4439.42,5535.46,6422.05
1493.66,2749.82,759.13,459.53,457.96,391.53,264.77,288.93,1012.24,8601.35,428.28,133.93,242.89,1562.20,5091.29,4441.31,5541.80,6423.46
1497.06,2757.61,758.24,458.68,460.66,388.12,264.30,288.93,1014.98,8694.10,430.61,133.93,242.89,1560.32,5091.29,4436.59,5541.01,6416.41
1490.26,2760.54,759.13,459.53,460.66,388.12,264.77,288.93,1014.98,8703.76,430.61,133.93,242.89,1562.20,5091.29,4440.36,5540.22,6422.05
