Time,Grams,Blood Accumulated,Water accumulated,delta,delta delta
1568388189.4035032,0.2,0.18867924528301888,0.20060180541624875,0.18867924528301888,0.18867924528301888
1568388191.9065778,0.1,0.18867924528301888,0.20060180541624875,0.0,-0.18867924528301888
1568388193.224965,-0.0,0.18867924528301888,0.20060180541624875,0.0,0.0
1568388194.545598,691.1,651.9811320754717,693.1795386158476,651.7924528301887,651.7924528301887
1568388195.864337,0.0,700.4716981132075,744.7342026078235,48.490566037735825,-603.3018867924529
1568388197.1807518,188.3,700.4716981132075,744.7342026078235,0.0,-48.490566037735825
1568388198.501205,940.9,887.6415094339621,943.7311935807421,187.16981132075472,187.16981132075472
1568388199.819419,0.3,937.1698113207547,996.3891675025073,49.52830188679245,-137.64150943396226
1568388201.1351712,0.2,937.1698113207547,996.3891675025073,0.0,-49.52830188679245
1568388202.453676,0.3,937.1698113207547,996.3891675025073,0.0,0.0
