Time,Grams,Blood Accumulated,Water accumulated,delta,delta delta
1570697762.3965251,0.1,0.09433962264150944,0.10030090270812438,0.09433962264150944,0.09433962264150944
1570697764.8974872,-0.3,0.09433962264150944,0.10030090270812438,0.0,-0.09433962264150944
1570697766.212511,-0.3,0.09433962264150944,0.10030090270812438,0.0,0.0
1570697767.5311282,1543.2,1455.8490566037735,1547.8435305917753,1455.754716981132,1455.754716981132
1570697768.847544,-0.2,1661.6037735849056,1766.5997993981946,205.754716981132,-1250.0
1570697770.161778,0.0,1661.6037735849056,1766.5997993981946,0.0,-205.754716981132
1570697771.47826,-0.0,1661.6037735849056,1766.5997993981946,0.0,0.0
1570697772.7946439,-0.3,1661.6037735849056,1766.5997993981946,0.0,0.0
1570697774.1108649,-0.1,1661.6037735849056,1766.5997993981946,0.0,0.0
1570697775.426295,0.2,1661.6037735849056,1766.5997993981946,0.0,0.0
1570697776.7433019,-0.2,1661.6037735849056,1766.5997993981946,0.0,0.0
