Time,Grams,Blood Accumulated,Water Accumulated,Delta,Delta of Delta
1.5572e+09,302.3,285.47,303.51,0,-0.09434
1.5572e+09,302.2,285.47,303.51,0,0
1.5572e+09,302.2,285.47,303.51,0,0
1.5572e+09,302.3,285.47,303.51,0,0
1.5572e+09,302.4,285.47,303.51,0,0
1.5572e+09,302.4,285.47,303.51,0,0
1.5572e+09,302.3,285.47,303.51,0,0
1.5572e+09,302.5,285.47,303.51,0,0
1.5572e+09,302.8,285.66,303.71,0.18868,0.18868
1.5572e+09,304.3,287.08,305.22,1.4151,1.2264
1.5572e+09,302.5,287.08,305.22,0,-1.4151
1.5572e+09,302.4,287.08,305.22,0,0
1.5572e+09,302.2,287.08,305.22,0,0
1.5572e+09,302.1,287.08,305.22,0,0
1.5572e+09,302,287.08,305.22,0,0
1.5572e+09,302,287.08,305.22,0,0
1.5572e+09,302.3,287.08,305.22,0,0
1.5572e+09,303.4,287.08,305.22,0,0
1.5572e+09,303.5,287.08,305.22,0,0
1.5572e+09,303.6,287.08,305.22,0,0
1.5572e+09,303.3,287.08,305.22,0,0
1.5572e+09,303.3,287.08,305.22,0,0
1.5572e+09,303.6,287.08,305.22,0,0
1.5572e+09,303.4,287.08,305.22,0,0
1.5572e+09,303.1,287.08,305.22,0,0
1.5572e+09,303.1,287.08,305.22,0,0
1.5572e+09,303.5,287.08,305.22,0,0
1.5572e+09,303.4,287.08,305.22,0,0
1.5572e+09,303.6,287.08,305.22,0,0
1.5572e+09,303.2,287.08,305.22,0,0
1.5572e+09,303.5,287.08,305.22,0,0
1.5572e+09,303.7,287.08,305.22,0,0
1.5572e+09,302.7,287.08,305.22,0,0
1.5572e+09,303.4,287.08,305.22,0,0
1.5572e+09,303.3,287.08,305.22,0,0
1.5572e+09,303,287.08,305.22,0,0
1.5572e+09,303.1,287.08,305.22,0,0
1.5572e+09,305.5,288.21,306.42,1.1321,1.1321
1.5572e+09,309.9,292.36,310.83,4.1509,3.0189
1.5572e+09,315.3,297.45,316.25,5.0943,0.9434
1.5572e+09,317.2,299.25,318.15,1.7925,-3.3019
1.5572e+09,318.8,300.75,319.76,1.5094,-0.28302
1.5572e+09,319,301.04,320.06,0.28302,-1.2264
1.5572e+09,319.9,301.79,320.86,0.75472,0.4717
1.5572e+09,320,301.98,321.06,0.18868,-0.56604
1.5572e+09,321.4,303.21,322.37,1.2264,1.0377
1.5572e+09,322.4,304.15,323.37,0.9434,-0.28302
1.5572e+09,320.7,304.43,323.67,0.28302,-0.66038
1.5572e+09,321.4,304.43,323.67,0,-0.28302
1.5572e+09,321.4,304.43,323.67,0,0
1.5572e+09,321.9,304.43,323.67,0,0
1.5572e+09,322,304.43,323.67,0,0
1.5572e+09,322.4,304.43,323.67,0,0
1.5572e+09,322.6,304.62,323.87,0.18868,0.18868
1.5572e+09,322.7,304.62,323.87,0,-0.18868
1.5572e+09,322.3,304.62,323.87,0,0
1.5572e+09,323.4,305.09,324.37,0.4717,0.4717
1.5572e+09,323,305.09,324.37,0,-0.4717
1.5572e+09,323.3,305.09,324.37,0,0
1.5572e+09,323.5,305.19,324.47,0.09434,0.09434
1.5572e+09,324.7,306.32,325.68,1.1321,1.0377
1.5572e+09,325,306.6,325.98,0.28302,-0.84906
1.5572e+09,325.7,307.26,326.68,0.66038,0.37736
1.5572e+09,325.2,307.26,326.68,0,-0.66038
1.5572e+09,325.3,307.26,326.68,0,0
1.5572e+09,325.5,307.26,326.68,0,0
1.5572e+09,325.7,307.64,327.08,0.37736,0.37736
1.5572e+09,326.5,308.02,327.48,0.37736,-5.6843e-14
1.5572e+09,326.9,308.4,327.88,0.37736,0
1.5572e+09,326.7,308.4,327.88,0,-0.37736
1.5572e+09,326.6,308.4,327.88,0,0
1.5572e+09,326,308.4,327.88,0,0
1.5572e+09,326.1,308.4,327.88,0,0
1.5572e+09,326.7,308.4,327.88,0,0
1.5572e+09,327.5,308.96,328.49,0.56604,0.56604
1.5572e+09,328,309.43,328.99,0.4717,-0.09434
1.5572e+09,328.4,309.81,329.39,0.37736,-0.09434
1.5572e+09,328.4,309.81,329.39,0,-0.37736
1.5572e+09,328.9,310.28,329.89,0.4717,0.4717
1.5572e+09,329,310.38,329.99,0.09434,-0.37736
1.5572e+09,329.4,310.75,330.39,0.37736,0.28302
1.5572e+09,329,310.75,330.39,0,-0.37736
1.5572e+09,329.1,310.75,330.39,0,0
1.5572e+09,329.2,310.75,330.39,0,0
1.5572e+09,328.8,310.75,330.39,0,0
1.5572e+09,330,311.32,330.99,0.56604,0.56604
1.5572e+09,331.6,312.83,332.6,1.5094,0.9434
1.5572e+09,330.4,313.4,333.2,0.56604,-0.9434
1.5572e+09,330.6,313.4,333.2,0,-0.56604
1.5572e+09,332.2,313.4,333.2,0,0
1.5572e+09,332.6,313.77,333.6,0.37736,0.37736
1.5572e+09,332.7,313.96,333.8,0.18868,-0.18868
1.5572e+09,333.4,314.53,334.4,0.56604,0.37736
1.5572e+09,333.6,315,334.9,0.4717,-0.09434
1.5572e+09,334.4,315.47,335.41,0.4717,0
1.5572e+09,335.1,316.13,336.11,0.66038,0.18868
1.5572e+09,334,316.13,336.11,0,-0.66038
1.5572e+09,333.9,316.13,336.11,0,0
1.5572e+09,331.4,316.13,336.11,0,0
1.5572e+09,329.6,316.13,336.11,0,0
1.5572e+09,331.1,316.13,336.11,0,0
1.5572e+09,331.4,316.13,336.11,0,0
1.5572e+09,331.3,316.13,336.11,0,0
1.5572e+09,330.7,316.13,336.11,0,0
1.5572e+09,331.6,316.13,336.11,0,0
1.5572e+09,331.7,316.13,336.11,0,0
1.5572e+09,332.6,316.13,336.11,0,0
1.5572e+09,331.5,316.13,336.11,0,0
1.5572e+09,331.4,316.13,336.11,0,0
1.5572e+09,331.5,316.13,336.11,0,0
1.5572e+09,329.9,316.13,336.11,0,0
1.5572e+09,329.5,316.13,336.11,0,0
1.5572e+09,330.1,316.13,336.11,0,0
1.5572e+09,330.6,316.13,336.11,0,0
1.5572e+09,330.6,316.13,336.11,0,0
1.5572e+09,330.4,316.13,336.11,0,0
1.5572e+09,329.7,316.13,336.11,0,0
1.5572e+09,329.4,316.13,336.11,0,0
1.5572e+09,329.8,316.13,336.11,0,0
1.5572e+09,329.3,316.13,336.11,0,0
1.5572e+09,329.5,316.13,336.11,0,0
1.5572e+09,328.9,316.13,336.11,0,0
1.5572e+09,329.2,316.13,336.11,0,0
1.5572e+09,329.5,316.13,336.11,0,0
1.5572e+09,329.2,316.13,336.11,0,0
1.5572e+09,329.1,316.13,336.11,0,0
1.5572e+09,329.1,316.13,336.11,0,0
1.5572e+09,329.3,316.13,336.11,0,0
1.5572e+09,329.3,316.13,336.11,0,0
1.5572e+09,333.2,316.13,336.11,0,0
1.5572e+09,333.6,316.13,336.11,0,0
1.5572e+09,333.4,316.13,336.11,0,0
1.5572e+09,333.8,316.13,336.11,0,0
1.5572e+09,333.7,316.13,336.11,0,0
1.5572e+09,333.6,316.13,336.11,0,0
1.5572e+09,333.4,316.13,336.11,0,0
1.5572e+09,333.6,316.13,336.11,0,0
1.5572e+09,333.6,316.13,336.11,0,0
1.5572e+09,333.8,316.13,336.11,0,0
1.5572e+09,333.5,316.13,336.11,0,0
1.5572e+09,333.7,316.13,336.11,0,0
1.5572e+09,333.7,316.13,336.11,0,0
1.5572e+09,333.7,316.13,336.11,0,0
1.5572e+09,333.4,316.13,336.11,0,0
1.5572e+09,333.4,316.13,336.11,0,0
1.5572e+09,333.6,316.13,336.11,0,0
1.5572e+09,333.4,316.13,336.11,0,0
1.5572e+09,333.7,316.13,336.11,0,0
1.5572e+09,333.6,316.13,336.11,0,0
1.5572e+09,333.6,316.13,336.11,0,0
1.5572e+09,333.3,316.13,336.11,0,0
1.5572e+09,333.4,316.13,336.11,0,0
1.5572e+09,333.5,316.13,336.11,0,0
1.5572e+09,333.8,316.13,336.11,0,0
1.5572e+09,333.5,316.13,336.11,0,0
1.5572e+09,333.4,316.13,336.11,0,0
1.5572e+09,333.9,316.13,336.11,0,0
1.5572e+09,333.8,316.13,336.11,0,0
1.5572e+09,333.9,316.13,336.11,0,0
1.5572e+09,334.1,316.13,336.11,0,0
1.5572e+09,334.7,316.13,336.11,0,0
1.5572e+09,335.3,316.32,336.31,0.18868,0.18868
1.5572e+09,335.8,316.79,336.81,0.4717,0.28302
1.5572e+09,336,316.98,337.01,0.18868,-0.28302
1.5572e+09,336.1,317.36,337.41,0.37736,0.18868
1.5572e+09,336,317.36,337.41,0,-0.37736
1.5572e+09,336.1,317.36,337.41,0,0
1.5572e+09,336,317.36,337.41,0,0
1.5572e+09,336.1,317.45,337.51,0.09434,0.09434
1.5572e+09,335.9,317.45,337.51,0,-0.09434
1.5572e+09,336.4,317.45,337.51,0,0
1.5572e+09,336.6,317.55,337.61,0.09434,0.09434
1.5572e+09,336.6,317.64,337.71,0.09434,-5.6843e-14
1.5572e+09,337.4,318.3,338.42,0.66038,0.56604
1.5572e+09,337.6,318.49,338.62,0.18868,-0.4717
1.5572e+09,337.3,318.49,338.62,0,-0.18868
1.5572e+09,337.3,318.49,338.62,0,0
1.5572e+09,337.2,318.49,338.62,0,0
1.5572e+09,337.5,318.49,338.62,0,0
1.5572e+09,338.1,318.96,339.12,0.4717,0.4717
1.5572e+09,338,318.96,339.12,0,-0.4717
1.5572e+09,338.2,319.06,339.22,0.09434,0.09434
1.5572e+09,338.2,319.53,339.72,0.4717,0.37736
1.5572e+09,338.1,319.53,339.72,0,-0.4717
1.5572e+09,338.4,319.53,339.72,0,0
1.5572e+09,339.2,320,340.22,0.4717,0.4717
1.5572e+09,340.1,320.85,341.12,0.84906,0.37736
1.5572e+09,341.2,321.89,342.23,1.0377,0.18868
1.5572e+09,341.8,322.45,342.83,0.56604,-0.4717
1.5572e+09,342.3,322.92,343.33,0.4717,-0.09434
1.5572e+09,343,323.58,344.03,0.66038,0.18868
1.5572e+09,343.5,324.06,344.53,0.4717,-0.18868
1.5572e+09,343.4,324.06,344.53,0,-0.4717
1.5572e+09,343.5,324.06,344.53,0,0
1.5572e+09,343.6,324.15,344.63,0.09434,0.09434
1.5572e+09,343.3,324.15,344.63,0,-0.09434
1.5572e+09,343.4,324.15,344.63,0,0
1.5572e+09,343.3,324.15,344.63,0,0
1.5572e+09,343.3,324.15,344.63,0,0
1.5572e+09,343.1,324.15,344.63,0,0
1.5572e+09,343.4,324.15,344.63,0,0
1.5572e+09,343,324.15,344.63,0,0
1.5572e+09,344.2,324.72,345.24,0.56604,0.56604
1.5572e+09,345.2,325.66,346.24,0.9434,0.37736
1.5572e+09,346.6,326.98,347.64,1.3208,0.37736
1.5572e+09,347.1,327.45,348.14,0.4717,-0.84906
1.5572e+09,347.7,328.02,348.75,0.56604,0.09434
1.5572e+09,348.2,328.49,349.25,0.4717,-0.09434
1.5572e+09,348.5,328.77,349.55,0.28302,-0.18868
1.5572e+09,348.4,328.77,349.55,0,-0.28302
1.5572e+09,348.3,328.77,349.55,0,0
1.5572e+09,348.6,328.87,349.65,0.09434,0.09434
1.5572e+09,348.8,329.15,349.95,0.28302,0.18868
1.5572e+09,348.9,329.43,350.25,0.28302,0
1.5572e+09,349.3,329.53,350.35,0.09434,-0.18868
1.5572e+09,349.4,329.62,350.45,0.09434,-5.6843e-14
1.5572e+09,349.5,329.72,350.55,0.09434,5.6843e-14
1.5572e+09,349.4,329.72,350.55,0,-0.09434
1.5572e+09,349.6,329.81,350.65,0.09434,0.09434
1.5572e+09,349.5,329.81,350.65,0,-0.09434
1.5572e+09,349.5,329.81,350.65,0,0
1.5572e+09,349.8,330,350.85,0.18868,0.18868
1.5572e+09,349.4,330,350.85,0,-0.18868
1.5572e+09,349.7,330,350.85,0,0
1.5572e+09,350.1,330.28,351.15,0.28302,0.28302
1.5572e+09,350.1,330.28,351.15,0,-0.28302
1.5572e+09,349.8,330.28,351.15,0,0
1.5572e+09,350.1,330.28,351.15,0,0
1.5572e+09,350,330.28,351.15,0,0
1.5572e+09,350.3,330.47,351.35,0.18868,0.18868
1.5572e+09,350.4,330.57,351.45,0.09434,-0.09434
1.5572e+09,350.3,330.57,351.45,0,-0.09434
1.5572e+09,350.5,330.66,351.55,0.09434,0.09434
1.5572e+09,354.2,334.15,355.27,3.4906,3.3962
1.5572e+09,361.4,340.94,362.49,6.7925,3.3019
1.5572e+09,371.3,350.28,372.42,9.3396,2.5472
1.5572e+09,374,352.83,375.13,2.5472,-6.7925
1.5572e+09,376.7,355.38,377.83,2.5472,0
1.5572e+09,377.7,356.32,378.84,0.9434,-1.6038
1.5572e+09,380.8,359.25,381.95,2.9245,1.9811
1.5572e+09,383.4,361.7,384.55,2.4528,-0.4717
1.5572e+09,392.3,370.09,393.48,8.3962,5.9434
1.5572e+09,413.7,390.28,414.94,20.189,11.792
1.5572e+09,419,395.28,420.26,5,-15.189
1.5572e+09,422.6,398.68,423.87,3.3962,-1.6038
1.5572e+09,423.4,399.43,424.67,0.75472,-2.6415
1.5572e+09,424.9,400.85,426.18,1.4151,0.66038
1.5572e+09,425.3,401.23,426.58,0.37736,-1.0377
1.5572e+09,425.4,401.51,426.88,0.28302,-0.09434
1.5572e+09,426.5,402.36,427.78,0.84906,0.56604
1.5572e+09,426.6,402.64,428.08,0.28302,-0.56604
1.5572e+09,427,402.83,428.28,0.18868,-0.09434
1.5572e+09,427,402.83,428.28,0,-0.18868
1.5572e+09,427.6,403.4,428.89,0.56604,0.56604
1.5572e+09,427.7,403.49,428.99,0.09434,-0.4717
1.5572e+09,428.1,403.87,429.39,0.37736,0.28302
1.5572e+09,428.1,403.87,429.39,0,-0.37736
1.5572e+09,429,404.72,430.29,0.84906,0.84906
1.5572e+09,429.7,405.38,430.99,0.66038,-0.18868
1.5572e+09,430.2,405.85,431.49,0.4717,-0.18868
1.5572e+09,430.7,406.32,432,0.4717,0
1.5572e+09,431.4,406.98,432.7,0.66038,0.18868
1.5572e+09,432,407.55,433.3,0.56604,-0.09434
1.5572e+09,432.6,408.11,433.9,0.56604,0
1.5572e+09,433,408.49,434.3,0.37736,-0.18868
1.5572e+09,433.1,408.58,434.4,0.09434,-0.28302
1.5572e+09,433.1,408.77,434.6,0.18868,0.09434
1.5572e+09,433.1,408.77,434.6,0,-0.18868
1.5572e+09,432.9,408.77,434.6,0,0
1.5572e+09,433.3,408.77,434.6,0,0
1.5572e+09,433.6,409.06,434.9,0.28302,0.28302
1.5572e+09,433.6,409.06,434.9,0,-0.28302
1.5572e+09,433.8,409.25,435.11,0.18868,0.18868
1.5572e+09,434.3,409.72,435.61,0.4717,0.28302
1.5572e+09,434.2,409.72,435.61,0,-0.4717
1.5572e+09,434.8,410.19,436.11,0.4717,0.4717
1.5572e+09,439.1,414.25,440.42,4.0566,3.5849
1.5572e+09,442.9,417.83,444.23,3.5849,-0.4717
1.5572e+09,446.7,421.42,448.04,3.5849,0
1.5572e+09,451.8,426.23,453.16,4.8113,1.2264
1.5572e+09,478.7,451.6,480.14,25.377,20.566
1.5572e+09,488.5,460.85,489.97,9.2453,-16.132
1.5572e+09,491.5,463.68,492.98,2.8302,-6.4151
1.5572e+09,493.4,465.47,494.88,1.7925,-1.0377
1.5572e+09,493.8,465.85,495.29,0.37736,-1.4151
1.5572e+09,494.6,466.6,496.09,0.75472,0.37736
1.5572e+09,495.3,467.26,496.79,0.66038,-0.09434
1.5572e+09,494.9,467.26,496.79,0,-0.66038
1.5572e+09,495.5,467.45,496.99,0.18868,0.18868
1.5572e+09,495.9,467.83,497.39,0.37736,0.18868
1.5572e+09,496.4,468.3,497.89,0.4717,0.09434
1.5572e+09,496,468.3,497.89,0,-0.4717
1.5572e+09,494.2,468.3,497.89,0,0
1.5572e+09,498.4,470.19,499.9,1.8868,1.8868
1.5572e+09,498,470.19,499.9,0,-1.8868
1.5572e+09,498,470.57,500.3,0.37736,0.37736
1.5572e+09,498.3,470.57,500.3,0,-0.37736
1.5572e+09,498,470.57,500.3,0,0
1.5572e+09,498,470.57,500.3,0,0
1.5572e+09,498.1,470.57,500.3,0,0
1.5572e+09,498.2,470.57,500.3,0,0
1.5572e+09,498.4,470.57,500.3,0,0
1.5572e+09,499.1,471.04,500.8,0.4717,0.4717
1.5572e+09,499,471.13,500.9,0.09434,-0.37736
1.5572e+09,499.6,471.32,501.1,0.18868,0.09434
1.5572e+09,499.3,471.32,501.1,0,-0.18868
1.5572e+09,499.5,471.32,501.1,0,0
1.5572e+09,500,471.7,501.5,0.37736,0.37736
1.5572e+09,501.3,472.92,502.81,1.2264,0.84906
1.5572e+09,502,473.58,503.51,0.66038,-0.56604
1.5572e+09,502.1,473.68,503.61,0.09434,-0.56604
1.5572e+09,502.6,474.34,504.31,0.66038,0.56604
1.5572e+09,504.6,476.04,506.12,1.6981,1.0377
1.5572e+09,505,476.42,506.52,0.37736,-1.3208
1.5572e+09,505.5,476.89,507.02,0.4717,0.09434
1.5572e+09,506.4,477.74,507.92,0.84906,0.37736
1.5572e+09,506.6,477.92,508.12,0.18868,-0.66038
1.5572e+09,507.4,478.68,508.93,0.75472,0.56604
1.5572e+09,508.3,479.53,509.83,0.84906,0.09434
1.5572e+09,508.3,479.81,510.13,0.28302,-0.56604
1.5572e+09,508.9,480.28,510.63,0.4717,0.18868
1.5572e+09,509.9,481.04,511.43,0.75472,0.28302
1.5572e+09,511.1,482.74,513.24,1.6981,0.9434
1.5572e+09,510.7,482.74,513.24,0,-1.6981
1.5572e+09,511.5,482.74,513.24,0,0
1.5572e+09,514.4,485.28,515.95,2.5472,2.5472
1.5572e+09,515.7,486.51,517.25,1.2264,-1.3208
1.5572e+09,515.8,486.6,517.35,0.09434,-1.1321
1.5572e+09,516.6,487.36,518.15,0.75472,0.66038
1.5572e+09,516.8,487.55,518.36,0.18868,-0.56604
1.5572e+09,517.1,487.83,518.66,0.28302,0.09434
1.5572e+09,518,488.68,519.56,0.84906,0.56604
1.5572e+09,518.6,489.25,520.16,0.56604,-0.28302
1.5572e+09,519.2,489.81,520.76,0.56604,0
1.5572e+09,519.6,490.47,521.46,0.66038,0.09434
1.5572e+09,519.4,490.47,521.46,0,-0.66038
1.5572e+09,520.7,491.23,522.27,0.75472,0.75472
1.5572e+09,520.7,491.23,522.27,0,-0.75472
1.5572e+09,520.8,491.6,522.67,0.37736,0.37736
1.5572e+09,522.2,492.64,523.77,1.0377,0.66038
1.5572e+09,522.3,492.74,523.87,0.09434,-0.9434
1.5572e+09,523.2,493.58,524.77,0.84906,0.75472
1.5572e+09,523.3,493.68,524.87,0.09434,-0.75472
1.5572e+09,523.3,493.68,524.87,0,-0.09434
1.5572e+09,523.6,494.43,525.68,0.75472,0.75472
1.5572e+09,525.2,495.47,526.78,1.0377,0.28302
1.5572e+09,524.6,495.47,526.78,0,-1.0377
1.5572e+09,524.9,495.47,526.78,0,0
1.5572e+09,524.9,495.47,526.78,0,0
1.5572e+09,525.7,495.94,527.28,0.4717,0.4717
1.5572e+09,525.8,496.23,527.58,0.28302,-0.18868
1.5572e+09,526.7,496.89,528.28,0.66038,0.37736
1.5572e+09,526.5,496.89,528.28,0,-0.66038
1.5572e+09,527.8,497.92,529.39,1.0377,1.0377
1.5572e+09,529,499.06,530.59,1.1321,0.09434
1.5572e+09,529.7,499.72,531.29,0.66038,-0.4717
1.5572e+09,529.3,499.72,531.29,0,-0.66038
1.5572e+09,529.4,499.72,531.29,0,0
1.5572e+09,530.2,500.19,531.8,0.4717,0.4717
1.5572e+09,531.7,501.6,533.3,1.4151,0.9434
1.5572e+09,532.5,502.45,534.2,0.84906,-0.56604
1.5572e+09,533.7,503.77,535.61,1.3208,0.4717
1.5572e+09,534.5,506.13,538.11,2.3585,1.0377
1.5572e+09,534.4,506.13,538.11,0,-2.3585
1.5572e+09,534.2,506.13,538.11,0,0
1.5572e+09,534.5,506.13,538.11,0,0
1.5572e+09,534.9,506.13,538.11,0,0
1.5572e+09,535.1,506.13,538.11,0,0
1.5572e+09,535.1,506.13,538.11,0,0
1.5572e+09,535.4,506.13,538.11,0,0
1.5572e+09,535.3,506.13,538.11,0,0
