Time,Grams,Blood Accumulated,Water Accumulated,Delta,Delta of Delta
1.5572e+09,83,78.302,83.25,0.37736,-0.84906
1.5572e+09,83.6,78.868,83.852,0.56604,0.18868
1.5572e+09,83.8,79.057,84.052,0.18868,-0.37736
1.5572e+09,82.4,79.623,84.654,0.56604,0.37736
1.5572e+09,88.8,83.774,89.067,4.1509,3.5849
1.5572e+09,89.3,84.245,89.569,0.4717,-3.6792
1.5572e+09,96.2,90.755,96.489,6.5094,6.0377
1.5572e+09,94.2,90.755,96.489,0,-6.5094
1.5572e+09,100.8,95.094,101.1,4.3396,4.3396
1.5572e+09,104.5,98.585,104.81,3.4906,-0.84906
1.5572e+09,102.7,98.585,104.81,0,-3.4906
1.5572e+09,105.9,99.906,106.22,1.3208,1.3208
1.5572e+09,106.3,100.28,106.62,0.37736,-0.9434
1.5572e+09,107.1,101.04,107.42,0.75472,0.37736
1.5572e+09,108.3,102.17,108.63,1.1321,0.37736
1.5572e+09,108.6,102.45,108.93,0.28302,-0.84906
1.5572e+09,107.3,102.45,108.93,0,-0.28302
1.5572e+09,110,103.77,110.33,1.3208,1.3208
1.5572e+09,109.4,103.77,110.33,0,-1.3208
1.5572e+09,109,103.77,110.33,0,0
1.5572e+09,109,103.77,110.33,0,0
1.5572e+09,109.6,103.77,110.33,0,0
1.5572e+09,110,103.96,110.53,0.18868,0.18868
1.5572e+09,110.1,103.96,110.53,0,-0.18868
1.5572e+09,110.7,104.43,111.03,0.4717,0.4717
1.5572e+09,110.4,104.62,111.23,0.18868,-0.28302
1.5572e+09,110.4,104.62,111.23,0,-0.18868
1.5572e+09,110.2,104.62,111.23,0,0
1.5572e+09,110,104.62,111.23,0,0
1.5572e+09,110.1,104.62,111.23,0,0
1.5572e+09,110.7,104.62,111.23,0,0
1.5572e+09,109.9,104.62,111.23,0,0
1.5572e+09,110.2,104.62,111.23,0,0
1.5572e+09,110.2,104.62,111.23,0,0
1.5572e+09,109.8,104.62,111.23,0,0
1.5572e+09,110.1,104.62,111.23,0,0
1.5572e+09,109.7,104.62,111.23,0,0
1.5572e+09,110,104.62,111.23,0,0
1.5572e+09,110.2,106.7,113.44,2.0755,2.0755
1.5572e+09,112.6,106.7,113.44,0,-2.0755
1.5572e+09,111.1,106.7,113.44,0,0
1.5572e+09,108.1,106.7,113.44,0,0
1.5572e+09,109,106.7,113.44,0,0
1.5572e+09,109.7,106.7,113.44,0,0
1.5572e+09,108.7,106.7,113.44,0,0
1.5572e+09,114.3,109.34,116.25,2.6415,2.6415
1.5572e+09,113.9,109.34,116.25,0,-2.6415
1.5572e+09,110.5,109.34,116.25,0,0
1.5572e+09,110.7,109.34,116.25,0,0
1.5572e+09,112,109.34,116.25,0,0
1.5572e+09,111.9,109.34,116.25,0,0
1.5572e+09,109.9,109.34,116.25,0,0
1.5572e+09,112.4,109.34,116.25,0,0
1.5572e+09,112.5,109.34,116.25,0,0
1.5572e+09,113.5,109.34,116.25,0,0
1.5572e+09,108.6,109.34,116.25,0,0
1.5572e+09,113.1,109.34,116.25,0,0
1.5572e+09,112.1,109.34,116.25,0,0
1.5572e+09,112.4,109.34,116.25,0,0
1.5572e+09,112.4,109.34,116.25,0,0
1.5572e+09,112.2,109.34,116.25,0,0
1.5572e+09,112.4,109.34,116.25,0,0
1.5572e+09,112.5,109.34,116.25,0,0
1.5572e+09,112.3,109.34,116.25,0,0
1.5572e+09,112.1,109.34,116.25,0,0
1.5572e+09,112.4,109.34,116.25,0,0
1.5572e+09,112.7,109.34,116.25,0,0
1.5572e+09,112.8,109.34,116.25,0,0
1.5572e+09,112.8,109.34,116.25,0,0
1.5572e+09,112.9,109.34,116.25,0,0
1.5572e+09,113.1,109.34,116.25,0,0
1.5572e+09,113.1,109.34,116.25,0,0
1.5572e+09,113.4,109.34,116.25,0,0
1.5572e+09,113.2,109.34,116.25,0,0
1.5572e+09,115.2,109.34,116.25,0,0
1.5572e+09,114.4,109.34,116.25,0,0
1.5572e+09,114.4,109.34,116.25,0,0
1.5572e+09,114,109.34,116.25,0,0
1.5572e+09,113.6,109.34,116.25,0,0
1.5572e+09,113.6,109.34,116.25,0,0
1.5572e+09,114.1,109.34,116.25,0,0
1.5572e+09,114.9,109.34,116.25,0,0
1.5572e+09,115.4,109.34,116.25,0,0
1.5572e+09,116.6,110,116.95,0.66038,0.66038
1.5572e+09,116.8,110.19,117.15,0.18868,-0.4717
