Time,Grams,Blood Accumulated,Water accumulated,delta,delta delta
1557234425.979708,0.1,0.09433962264150944,0.10030090270812438,0.09433962264150944,0.09433962264150944
1557234428.479348,0.0,0.09433962264150944,0.10030090270812438,0.0,-0.09433962264150944
1557234429.506616,-0.3,0.09433962264150944,0.10030090270812438,0.0,0.0
1557234430.535064,-0.1,0.09433962264150944,0.10030090270812438,0.0,0.0
1557234431.562738,-0.1,0.09433962264150944,0.10030090270812438,0.0,0.0
1557234432.590055,-0.2,0.09433962264150944,0.10030090270812438,0.0,0.0
1557234433.616995,-0.2,0.09433962264150944,0.10030090270812438,0.0,0.0
1557234434.645631,-0.2,0.09433962264150944,0.10030090270812438,0.0,0.0
1557234435.6723251,-0.1,0.09433962264150944,0.10030090270812438,0.0,0.0
1557234436.6999738,0.3,0.2830188679245283,0.3009027081243731,0.18867924528301885,0.18867924528301885
1557234437.7285209,-0.6,0.2830188679245283,0.3009027081243731,0.0,0.0
1557234438.756258,-0.2,0.2830188679245283,0.3009027081243731,0.0,0.0
1557234439.783509,-0.1,0.2830188679245283,0.3009027081243731,0.0,0.0
1557234440.811075,-0.8,0.2830188679245283,0.3009027081243731,0.0,0.0
1557234441.838617,-0.8,0.2830188679245283,0.3009027081243731,0.0,0.0
1557234442.865569,-0.1,0.2830188679245283,0.3009027081243731,0.0,0.0
1557234443.893225,-0.1,0.2830188679245283,0.3009027081243731,0.0,0.0
1557234444.921144,0.3,0.2830188679245283,0.3009027081243731,0.0,0.0
1557234445.94781,1.0,0.9433962264150942,1.0030090270812435,0.18867924528301883,-0.2830188679245283
1557234446.975439,1.3,1.2264150943396226,1.3039117352056167,0.28301886792452835,0.28301886792452835
1557234448.004086,0.6,1.2264150943396226,1.3039117352056167,0.0,0.0
1557234449.030721,1.1,1.509433962264151,1.6048144433299898,0.0,-0.28301886792452835
1557234450.057958,1.3,1.509433962264151,1.6048144433299898,0.0,0.0
1557234451.085599,2.7,2.547169811320755,2.708124373119358,0.7547169811320756,0.4716981132075475
1557234452.112981,5.6,5.283018867924527,5.616850551654965,1.7924528301886786,0.8490566037735844
1557234453.141232,6.9,6.509433962264151,6.920762286860581,0.6603773584905662,0.09433962264150919
1557234454.168109,7.8,7.358490566037735,7.8234704112337,0.8490566037735844,0.8490566037735844
1557234455.1952598,8.5,8.018867924528301,8.52557673019057,0.28301886792452896,-0.09433962264150825
1557234456.222712,9.2,8.679245283018865,9.22768304914744,0.4716981132075471,0.2830188679245289
1557234457.250093,10.2,9.62264150943396,10.230692076228685,0.9433962264150942,0.9433962264150942
1557234458.278523,10.1,10.754716981132074,11.434302908726178,0.0,-1.132075471698114
1557234459.3059552,11.5,10.849056603773583,11.534603811434302,0.0943396226415091,0.0943396226415091
1557234460.3331578,11.6,10.943396226415093,11.634904714142426,0.0943396226415091,0.0943396226415091
1557234461.360738,11.4,10.943396226415093,11.634904714142426,0.0,0.0
1557234462.388159,11.6,10.943396226415093,11.634904714142426,0.0,0.0
1557234463.415553,12.1,11.41509433962264,12.136409227683048,0.4716981132075471,0.4716981132075471
1557234464.443201,11.7,11.41509433962264,12.136409227683048,0.0,0.0
1557234465.470655,11.9,11.41509433962264,12.136409227683048,0.0,0.0
1557234466.4980989,11.9,11.41509433962264,12.136409227683048,0.0,0.0
1557234467.5257049,12.4,11.698113207547168,12.437311935807422,0.0,-0.28301886792452896
1557234468.553026,12.3,11.886792452830186,12.63791374122367,0.0,-0.1886792452830182
1557234469.580874,12.6,11.886792452830186,12.63791374122367,0.0,0.0
1557234470.608384,12.0,11.886792452830186,12.63791374122367,0.0,0.0
1557234471.635799,12.3,11.886792452830186,12.63791374122367,0.0,0.0
1557234472.66298,11.6,11.886792452830186,12.63791374122367,0.0,0.0
1557234473.6904252,12.2,11.886792452830186,12.63791374122367,0.0,0.0
1557234474.717526,12.4,11.886792452830186,12.63791374122367,0.0,0.0
1557234475.7451851,12.7,11.981132075471695,12.738214643931794,0.0943396226415091,0.0943396226415091
1557234476.772602,13.1,12.358490566037734,13.139418254764292,0.37735849056603804,0.37735849056603804
1557234477.80024,13.0,12.358490566037734,13.139418254764292,0.0,0.0
