610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
4516.10,2538.45,694.31,482.51,998.85,630.55,884.32,1352.56,1846.31,10518.94,1286.58,544.15,5.58,20.62,31.42,58.51,88.02,47.24
4528.56,2543.32,695.20,484.21,1003.36,632.83,894.32,1364.69,1852.97,10539.81,1295.33,546.96,5.58,20.62,31.42,58.51,88.02,47.24
4534.23,2543.32,695.20,484.21,1004.26,633.97,900.99,1372.33,1853.75,10548.31,1300.00,549.77,5.58,20.62,31.42,58.51,88.02,47.24
4554.63,2551.11,697.86,486.77,1009.67,636.24,911.94,1384.46,1857.28,10584.25,1311.09,553.52,5.58,20.62,31.42,58.51,88.81,47.24
4562.56,2555.98,698.75,487.62,1014.18,638.52,920.04,1394.35,1862.37,10595.46,1319.84,555.39,5.58,20.62,31.42,58.51,88.81,47.24
4571.63,2560.85,699.64,488.47,1016.88,639.66,928.13,1403.78,1863.54,10609.76,1328.01,557.27,5.58,20.62,31.42,58.51,88.81,47.24
4579.56,2562.80,700.53,489.32,1019.59,641.93,934.80,1411.42,1865.89,10634.49,1334.43,560.08,5.58,20.62,31.42,58.51,88.81,47.24
4261.11,2487.79,654.36,447.62,910.51,554.29,634.79,996.22,1618.41,10043.99,1207.23,424.27,4.65,18.74,29.57,53.79,83.26,43.01
4645.29,3184.26,806.18,547.19,931.24,649.90,322.39,684.82,2032.71,11709.61,1033.93,627.51,3.72,17.81,24.95,58.51,65.81,47.95
4741.62,3222.25,812.40,550.59,881.66,660.15,101.43,262.42,1975.14,11548.85,935.91,303.45,2.79,17.81,24.02,48.13,63.43,36.67
4733.69,3240.76,815.06,553.14,880.76,660.15,102.39,262.87,1990.42,11606.82,937.66,305.33,2.79,17.81,24.02,48.13,63.43,36.67
4714.42,3247.57,815.95,553.99,878.96,659.01,102.39,262.42,1989.24,11586.72,935.91,303.45,2.79,17.81,24.02,48.13,63.43,36.67
4734.82,3224.20,815.06,553.14,878.96,653.32,101.91,263.32,1984.93,11585.56,941.16,301.58,2.79,17.81,24.02,48.13,63.43,36.67
4977.34,3277.77,827.49,563.36,905.10,671.53,105.24,278.15,2035.06,11713.48,963.91,307.20,2.79,17.81,24.02,48.13,64.23,36.67
5139.40,3309.92,836.37,569.31,916.82,679.49,108.58,292.08,2076.17,11796.57,975.00,308.14,2.79,17.81,24.02,48.13,64.23,37.37
5205.13,3305.05,837.26,571.01,921.33,681.77,110.96,300.17,2090.66,11803.91,980.25,309.07,2.79,17.81,24.02,48.13,64.23,37.37
5302.59,3326.48,840.81,573.57,929.44,692.01,113.81,309.16,2111.81,11851.44,989.00,313.76,2.79,17.81,24.02,48.13,64.23,37.37
5372.85,3333.29,844.36,577.82,935.75,693.15,115.72,316.35,2123.16,11883.52,997.76,313.76,2.79,17.81,24.02,48.13,64.23,37.37
