610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
4142.12,2396.23,656.14,449.32,922.23,563.40,772.41,1192.59,1572.60,10390.25,1186.81,506.69,4.65,19.68,29.57,56.63,82.46,45.13
3808.94,2517.02,666.79,458.68,840.19,566.81,559.55,918.48,1355.27,9425.27,916.65,404.60,4.65,19.68,29.57,54.74,78.50,43.72
3769.27,2521.89,666.79,457.83,825.77,563.40,526.21,871.30,1312.59,7610.86,791.79,384.00,4.65,19.68,28.64,53.79,77.71,43.01
3743.21,2513.12,665.90,456.98,834.78,562.26,510.02,855.57,1418.31,9569.42,907.90,391.49,4.65,19.68,28.64,53.79,76.91,43.01
3797.60,2507.28,665.01,456.98,845.60,564.54,545.74,899.16,1352.53,7348.07,822.71,389.62,4.65,19.68,29.57,54.74,79.29,43.72
3812.33,2506.30,665.01,456.98,848.30,558.85,541.45,891.07,1330.21,7329.91,822.71,381.19,4.65,19.68,29.57,54.74,79.29,43.72
6341.80,3346.93,858.57,597.40,1034.01,751.20,151.44,461.04,2261.00,12218.96,1106.28,352.16,3.72,17.81,24.02,49.08,66.61,38.08
6688.58,3378.10,870.11,611.01,1071.87,767.13,257.63,603.03,2315.04,12496.82,1178.05,362.46,2.79,17.81,24.95,50.96,69.78,38.78
6750.92,3392.71,875.44,616.97,1083.59,771.69,302.87,658.75,2323.65,12633.63,1207.23,364.33,2.79,17.81,24.95,51.91,70.57,39.49
6766.78,3392.71,875.44,619.52,1090.81,773.96,339.06,699.20,2320.52,12681.16,1230.57,366.20,2.79,17.81,24.95,51.91,70.57,39.49
6764.51,3392.71,876.33,619.52,1091.71,775.10,343.82,703.24,2324.05,12695.46,1230.57,367.14,2.79,17.81,24.95,51.91,71.36,39.49
6793.98,3389.79,876.33,620.37,1097.12,778.52,366.68,730.20,2320.91,12739.13,1239.90,369.95,2.79,17.81,24.95,52.85,71.36,40.19
6815.51,3390.76,878.10,622.92,1104.33,781.93,404.78,771.09,2322.09,12801.35,1262.07,373.70,2.79,17.81,25.87,52.85,71.36,40.19
6830.24,3394.66,879.88,625.48,1112.44,784.21,449.07,816.93,2326.00,12841.54,1284.25,376.51,2.79,17.81,25.87,53.79,72.16,40.90
6827.98,3382.97,878.10,623.78,1110.64,785.35,445.73,812.43,2318.56,12857.39,1281.33,377.44,2.79,17.81,25.87,53.79,72.16,40.90
6702.18,3356.67,855.02,591.44,1062.86,787.62,185.72,509.12,2321.70,12018.78,1086.45,373.70,3.72,17.81,24.95,50.02,67.40,38.08
6639.85,3355.70,855.91,592.29,1052.94,777.38,184.29,503.28,2309.56,12059.74,1088.78,369.01,3.72,17.81,24.95,50.02,67.40,38.08
6592.26,3365.44,857.68,593.99,1049.34,775.10,182.86,497.44,2307.60,12088.73,1088.78,366.20,3.72,17.81,24.95,50.02,67.40,38.08
6559.39,3371.28,859.46,593.99,1045.73,772.83,182.86,496.09,2304.07,12104.18,1088.20,365.27,3.72,17.81,24.95,50.02,67.40,38.08
6160.48,3341.09,850.58,582.93,1011.47,744.37,150.48,405.77,2271.96,11890.86,1043.27,350.28,3.72,17.81,24.95,49.08,65.81,38.08
4779.02,2601.76,696.09,484.21,957.38,647.63,871.47,1313.46,1698.69,10504.64,1208.98,484.21,4.65,20.62,34.19,63.23,93.57,52.18
4760.89,2619.29,697.86,485.06,959.19,651.04,832.89,1270.33,1693.60,10505.03,1183.30,477.66,4.65,19.68,33.26,61.34,88.81,50.06
4711.02,2632.93,697.86,485.92,957.38,649.90,813.37,1248.76,1690.86,10562.23,1173.97,472.04,4.65,19.68,33.26,62.29,91.19,50.77
4698.56,2642.67,699.64,487.62,959.19,652.18,808.61,1243.81,1688.51,10607.05,1176.89,472.97,4.65,19.68,33.26,63.23,92.77,51.47
4694.02,2649.49,700.53,488.47,960.99,652.18,807.18,1243.81,1687.33,10617.49,1178.64,473.91,4.65,19.68,33.26,63.23,93.57,51.47
4694.02,2652.41,700.53,489.32,962.79,653.32,808.61,1245.16,1687.72,10641.06,1182.14,474.85,4.65,20.62,33.26,63.23,93.57,51.47
4692.89,2654.36,701.42,490.17,963.70,653.32,810.99,1247.41,1687.72,10656.91,1184.47,476.72,4.65,19.68,33.26,63.23,92.77,51.47
4689.49,2654.36,700.53,489.32,964.60,652.18,811.46,1248.76,1686.55,10643.38,1186.22,477.66,4.65,19.68,33.26,62.29,92.77,50.77
4699.69,2654.36,701.42,491.02,965.50,652.18,814.32,1251.90,1686.55,10661.16,1189.14,479.53,4.65,19.68,33.26,62.29,91.98,50.77
