610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
4505.90,2768.33,685.43,484.21,980.82,644.21,862.89,1304.48,1632.12,10604.35,1252.74,522.61,5.58,20.62,31.42,59.46,89.60,47.95
4512.70,2768.33,686.32,485.06,983.53,646.49,869.08,1313.01,1635.64,10607.05,1259.16,524.49,5.58,20.62,31.42,60.40,89.60,48.65
4517.23,2765.41,686.32,485.92,984.43,646.49,875.75,1319.75,1636.82,10600.49,1263.83,526.36,5.58,20.62,31.42,60.40,90.39,48.65
4530.83,2767.35,687.21,486.77,986.23,647.63,882.89,1328.29,1639.56,10629.86,1269.08,529.17,5.58,20.62,31.42,60.40,91.19,48.65
4539.90,2772.22,687.21,485.92,988.04,647.63,889.09,1334.58,1641.52,10623.67,1276.08,531.04,5.58,20.62,32.34,60.40,91.19,48.65
4551.23,2796.58,689.87,491.02,995.25,649.90,896.71,1344.02,1642.69,10646.09,1282.50,533.85,5.58,20.62,32.34,60.40,91.98,48.65
4533.10,3460.90,806.18,549.74,888.87,663.56,105.72,250.74,1924.63,11431.37,942.33,294.09,2.79,17.81,24.02,48.13,63.43,37.37
5353.59,3171.60,815.95,553.99,915.92,713.64,113.81,309.16,1986.89,11480.83,939.99,335.30,3.72,17.81,24.02,48.13,64.23,37.37
6302.14,3371.28,871.89,590.59,1030.41,766.00,130.96,362.18,2321.30,11778.79,1037.43,367.14,3.72,17.81,24.02,49.08,65.02,37.37
6883.51,3430.70,893.20,608.46,1062.86,788.76,155.72,436.32,2412.93,12200.41,1081.19,384.00,3.72,17.81,24.02,49.08,66.61,38.08
6954.90,3356.67,874.55,599.95,1072.78,788.76,181.44,507.77,2403.93,12133.94,1123.79,382.13,3.72,17.81,24.95,50.02,68.19,38.08
7288.09,3444.34,914.51,629.73,1108.84,803.56,234.77,582.36,2440.35,12623.97,1154.13,393.36,3.72,17.81,24.95,50.96,68.99,38.78
6899.37,3320.63,865.67,600.80,1065.56,781.93,246.20,591.80,2342.84,12265.34,1154.13,369.95,3.72,17.81,24.95,50.96,69.78,38.78
6852.91,3365.44,871.00,610.16,1092.61,780.79,275.25,636.29,2346.37,12458.18,1187.39,368.08,3.72,17.81,24.95,51.91,69.78,39.49
6869.91,3322.58,867.45,608.46,1083.59,786.48,300.49,666.39,2329.14,12450.06,1196.14,375.57,3.72,17.81,24.95,51.91,70.57,39.49
6886.91,3328.42,859.46,603.35,1088.10,784.21,311.92,677.63,2325.61,12417.99,1206.64,369.95,3.72,17.81,24.95,51.91,71.36,39.49
7020.63,3339.14,867.45,610.16,1109.74,804.69,339.06,720.32,2349.11,12494.89,1229.40,384.00,3.72,17.81,24.95,52.85,71.36,40.19
7067.10,3389.79,879.88,616.97,1117.85,801.28,368.59,748.18,2352.63,12714.40,1246.32,389.62,2.79,17.81,25.87,52.85,71.36,40.19
7048.97,3342.06,877.21,620.37,1120.56,802.42,407.64,792.21,2340.10,12752.66,1257.41,390.55,2.79,17.81,25.87,52.85,72.16,40.19
7511.34,3390.76,893.20,626.33,1177.35,828.60,454.78,865.46,2462.67,12741.06,1280.75,414.91,3.72,17.81,25.87,53.79,72.95,40.90
7419.55,3390.76,888.76,624.63,1185.46,835.43,447.16,863.21,2445.83,12687.73,1276.08,415.84,3.72,17.81,25.87,53.79,72.95,40.90
7500.01,3410.25,882.54,616.97,1172.84,842.25,417.16,817.83,2465.41,12528.13,1204.31,413.03,3.72,17.81,25.87,52.85,71.36,40.19
6029.02,3280.69,783.10,523.36,1009.67,829.73,127.62,314.10,2431.73,10278.57,836.13,405.54,3.72,17.81,24.95,48.13,65.02,37.37
5333.19,3138.48,774.22,517.40,946.57,777.38,119.05,280.40,2132.95,10578.84,857.72,375.57,3.72,17.81,24.02,48.13,64.23,37.37
4989.81,3118.02,775.11,518.25,925.83,746.65,116.20,272.76,2086.35,10805.31,873.47,362.46,3.72,17.81,24.02,48.13,64.23,37.37
3580.01,2914.44,745.81,495.28,793.31,615.76,95.24,186.03,1666.97,10899.60,815.71,294.09,2.79,17.81,24.02,48.13,63.43,36.67
4182.92,2369.93,649.92,445.92,887.97,592.99,712.41,1108.11,1488.80,9063.94,1060.77,453.31,4.65,19.68,29.57,56.63,80.88,45.13
4179.52,2401.10,656.14,450.17,898.79,594.13,705.27,1101.37,1424.19,7927.76,990.75,455.18,4.65,19.68,29.57,55.68,80.88,45.13
4169.32,2413.76,657.91,452.73,901.49,594.13,698.60,1093.73,1379.16,7984.18,1000.09,455.18,4.65,19.68,29.57,55.68,80.88,45.13
4178.38,2434.22,662.35,456.13,908.70,596.41,702.41,1099.57,1416.75,9540.05,1064.86,464.54,4.65,19.68,29.57,55.68,80.88,45.13
4179.52,2443.96,665.01,457.83,912.31,596.41,705.27,1106.31,1483.32,10100.41,1112.12,472.97,4.65,19.68,29.57,56.63,81.67,45.13
4196.51,2456.62,667.68,461.24,918.62,597.55,712.41,1116.20,1520.52,10168.81,1127.87,479.53,4.65,19.68,29.57,56.63,81.67,45.13
4208.98,2465.39,671.23,462.94,923.13,598.68,717.65,1123.84,1534.61,10194.71,1135.46,484.21,4.65,19.68,29.57,56.63,82.46,45.13
4211.25,2470.26,670.34,463.79,925.83,598.68,721.94,1129.68,1540.88,10215.19,1142.46,487.02,4.65,19.68,29.57,56.63,82.46,45.13
