610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm





















470.31,224.04,67.48,36.59,49.58,42.11,148.58,167.16,138.23,172.36,27.42,25.29,58.63,551.97,1143.92,650.25,890.46,923.68
6634.19,3296.28,1069.88,619.52,944.76,849.08,2654.88,2968.89,2580.92,7186.15,962.75,313.76,264.29,1696.21,5265.93,4747.08,6210.24,7103.88
6654.59,3294.33,1075.21,623.78,954.68,858.19,2651.54,2974.28,2584.45,7174.94,969.17,318.44,262.43,1680.28,5235.43,4733.87,6164.25,7018.56
6647.79,3292.38,1075.21,623.78,954.68,854.77,2646.78,2971.58,2578.57,7092.63,960.41,317.50,262.43,1674.65,5231.74,4750.86,6156.32,7006.58
6637.59,3286.54,1074.32,623.78,955.58,853.64,2643.45,2969.78,2573.88,7081.03,959.25,316.56,263.36,1672.78,5230.81,4762.18,6142.05,7001.64
6636.45,3284.59,1074.32,624.63,956.48,854.77,2642.02,2969.78,2571.53,7065.57,956.91,317.50,262.43,1669.03,5225.27,4766.90,6125.40,6983.31
6630.79,3280.69,1074.32,623.78,954.68,852.50,2640.11,2968.89,2570.74,7032.34,951.66,316.56,263.36,1669.03,5233.59,4773.51,6127.78,6974.14
6628.52,3277.77,1073.43,623.78,953.78,852.50,2638.21,2967.99,2569.18,7015.72,948.16,316.56,263.36,1666.22,5231.74,4772.57,6118.26,6955.81
6626.25,3274.85,1071.66,623.78,953.78,851.36,2635.35,2966.64,2564.48,6976.30,943.49,315.63,262.43,1661.53,5220.65,4780.12,6103.99,6953.69
6625.12,3277.77,1073.43,624.63,954.68,850.22,2638.68,2971.13,2566.04,6943.07,941.16,315.63,262.43,1661.53,5223.42,4783.89,6107.16,6947.35
6622.85,3275.82,1071.66,623.78,954.68,849.08,2634.87,2966.64,2566.04,6923.36,939.41,313.76,262.43,1657.79,5221.57,4779.17,6098.44,6929.01
6625.12,3274.85,1073.43,625.48,953.78,849.08,2636.30,2968.89,2565.26,6910.60,935.91,313.76,262.43,1657.79,5221.57,4786.72,6092.89,6931.13
