610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
7033.10,2920.28,993.53,619.52,1522.62,1089.24,2498.20,2951.36,2364.77,10770.91,2009.52,826.07,223.34,1376.65,4343.77,3927.91,4868.60,5490.61
7034.23,2920.28,993.53,619.52,1521.72,1089.24,2498.20,2951.36,2364.38,10772.84,2009.52,827.00,223.34,1376.65,4343.77,3927.91,4864.64,5492.02
7027.43,2920.28,992.64,619.52,1521.72,1088.10,2495.34,2947.77,2364.38,10760.09,2008.93,826.07,222.41,1375.71,4343.77,3924.13,4869.40,5487.79
7033.10,2919.31,993.53,619.52,1521.72,1089.24,2497.73,2950.91,2364.38,10768.98,2008.93,826.07,223.34,1376.65,4342.84,3926.96,4867.81,5484.97
7034.23,2919.31,992.64,618.67,1519.92,1089.24,2494.87,2947.32,2361.64,10770.53,2006.60,826.07,222.41,1375.71,4339.15,3927.91,4863.05,5490.61
7034.23,2919.31,993.53,619.52,1521.72,1089.24,2497.73,2950.91,2364.77,10770.91,2008.93,826.07,223.34,1376.65,4343.77,3928.85,4867.81,5491.32
7031.97,2919.31,993.53,619.52,1521.72,1088.10,2494.87,2946.87,2364.38,10756.61,2008.35,825.13,222.41,1375.71,4343.77,3925.07,4867.81,5485.68
7033.10,2920.28,993.53,619.52,1521.72,1089.24,2497.73,2950.01,2364.38,10769.75,2008.93,826.07,223.34,1376.65,4343.77,3929.79,4868.60,5490.61
7033.10,2919.31,993.53,619.52,1521.72,1089.24,2498.20,2947.32,2362.03,10769.75,2006.60,826.07,222.41,1375.71,4340.07,3929.79,4863.84,5490.61
7030.83,2919.31,993.53,619.52,1521.72,1089.24,2496.77,2949.56,2363.99,10766.66,2008.35,826.07,223.34,1376.65,4343.77,3928.85,4867.81,5489.20
7031.97,2919.31,993.53,619.52,1521.72,1089.24,2496.30,2949.56,2363.59,10757.00,2008.35,825.13,222.41,1375.71,4342.84,3926.02,4867.02,5485.68
