Blood Accumulated,Delta,Delta of Delta
86.597,0.28302,0.28302
86.597,0,-0.28302
86.785,0.18868,0.18868
86.785,0,-0.18868
86.785,0,0
86.785,0,0
87.918,1.1321,1.1321
87.918,0,-1.1321
88.106,0.18868,0.18868
88.484,0.37736,0.18868
89.993,1.5094,1.132
91.502,1.5094,0
91.691,0.18868,-1.3207
92.54,0.84906,0.66038
92.917,0.37736,-0.4717
93.389,0.4717,0.09434
93.483,0.09434,-0.37736
94.144,0.66038,0.56604
94.238,0.09434,-0.56604
94.804,0.56604,0.4717
94.804,0,-0.56604
94.804,0,0
94.804,0,0
95.653,0.84906,0.84906
96.031,0.37736,-0.4717
96.125,0.09434,-0.28302
96.314,0.18868,0.09434
96.314,0,-0.18868
96.314,0,0
96.314,0,0
96.314,0,0
96.314,0,0
96.314,0,0
96.314,0,0
96.314,0,0
96.314,0,0
96.314,0,0
96.502,0.18868,0.18868
96.597,0.09434,-0.09434
96.785,0.18868,0.09434
96.88,0.09434,-0.09434
99.333,2.4528,2.3585
99.333,0,-2.4528
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
99.333,0,0
101.22,1.8868,1.8868
101.31,0.09434,-1.7925
101.31,0,-0.09434
101.41,0.09434,0.09434
101.79,0.37736,0.28302
101.79,0,-0.37736
101.79,0,0
101.79,0,0
101.79,0,0
101.79,0,0
101.79,0,0
101.79,0,0
101.79,0,0
101.79,0,0
101.97,0.18868,0.18868
101.97,0,-0.18868
102.07,0.09434,0.09434
102.35,0.28302,0.18868
102.35,0,-0.28302
102.35,0,0
102.35,0,0
102.35,0,0
102.35,0,0
102.35,0,0
102.35,0,0
102.73,0.37736,0.37736
102.73,0,-0.37736
102.73,0,0
102.73,0,0
102.73,0,0
102.73,0,0
103.11,0.37736,0.37736
103.2,0.09434,-0.28302
103.39,0.18868,0.09434
103.39,0,-0.18868
103.39,0,0
103.86,0.4717,0.4717
